Plant Name,Scientific Name,Identification,Image File Name,Status,Category,Edibility,Usage,WNNC Location,Notes,Google Search Link,Calscape Link
California Black Walnut,Juglans californica,Large pinnate leaves (9-19 leaflets); round green husked nuts; furrowed dark bark; rounded canopy to 30ft,California_Black_Walnut.jpg,Native,Tree,Edible,Nuts edible; dye from husks; shade tree; wildlife food; endemic,Hiking trail/Butterfly Garden/Parking Lot,,https://www.google.com/search?q=California%20Black%20Walnut%20California%20native%20plant,https://calscape.org/plant/Juglans-californica
Common Yarrow,Achillea millefolium,"Feathery, finely divided fernlike leaves; flat-topped white flower clusters; strong herbal scent when crushed",Common_Yarrow.jpg,Native,Herb,Caution,Medicinal wound herb; dried arrangements; pollinator; dye plant,Butterfly Garden,,https://www.google.com/search?q=Common%20Yarrow%20California%20native%20plant,https://calscape.org/plant/Achillea-millefolium
Showy Penstemon,Penstemon spectabilis,Opposite toothed blue-green leaves; tubular lavender-purple flowers in showy spikes; spring blooming,Showy_Penstemon.jpg,Native,Herb,Not edible,Ornamental; hummingbird & bee plant; dry slope garden,Butterfly Garden,,https://www.google.com/search?q=Showy%20Penstemon%20California%20native%20plant,https://calscape.org/plant/Penstemon-spectabilis
Narrowleaf Milkweed,Asclepias fascicularis,Narrow linear leaves in whorls; small pink-purple flowers in clusters; slender seed pods with silky floss,Narrowleaf_Milkweed.jpg,Native,Herb,Poisonous,Monarch butterfly host; wildlife; restoration planting; toxic raw,Butterfly Garden,,https://www.google.com/search?q=Narrowleaf%20Milkweed%20California%20native%20plant,https://calscape.org/plant/Asclepias-fascicularis
White Sage,Salvia apiana,Silvery-white aromatic leaves; white to pale lavender flowers on tall wands; strong distinctive scent,White_Sage.jpg,Native,Shrub,Edible,Ceremonial smudging; medicinal; culinary; pollinator; cultural significance,Butterfly Garden,,https://www.google.com/search?q=White%20Sage%20California%20native%20plant,https://calscape.org/plant/Salvia-apiana
Hummingbird Sage,Salvia spathacea,Large wrinkled sticky leaves; magenta tubular flowers on upright spikes; strong fruity-sage aroma,Hummingbird_Sage.jpg,Native,Herb,Edible,Leaves edible as tea; hummingbird plant; shade garden; medicinal,Butterfly Garden,,https://www.google.com/search?q=Hummingbird%20Sage%20California%20native%20plant,https://calscape.org/plant/Salvia-spathacea
California Wild Grape,Vitis californica,Lobed maple-like leaves; climbing vine with tendrils; small dark purple grapes in clusters; fall color,California_Wild_Grape.jpg,Native,Vine,Edible,Fruit edible fresh or dried (raisins); leaves used in cooking; wildlife food; shade arbor vine; makes tart juice and jelly,T1,,https://www.google.com/search?q=California%20Wild%20Grape%20California%20native%20plant,https://calscape.org/plant/Vitis-californica
Stinging Nettle,Urtica dioica,Opposite toothed leaves covered with stinging hairs; small greenish flowers; hollow stems; spreads by rhizomes,Stinging_Nettle.jpg,Native,Herb,Caution,Edible cooked (nutritious); fiber for cordage; medicinal; dye plant,T1,,https://www.google.com/search?q=Stinging%20Nettle%20California%20native%20plant,https://calscape.org/plant/Urtica-dioica
Catalina Cherry,Prunus ilicifolia ssp. lyonii,Large glossy holly-like leaves; white flower clusters in spring; large dark red to black cherry fruits,Catalina_Cherry.jpg,Native,Shrub,Caution,Fruit eaten (pit removed); wildlife food; street tree; ornamental,T1,,https://www.google.com/search?q=Catalina%20Cherry%20California%20native%20plant,https://calscape.org/plant/Prunus-ilicifolia
Coast Live Oak,Quercus agrifolia,Small spiny-margined evergreen leaves; acorns with thin scales; massive spreading crown; furrowed dark bark,Coast_Live_Oak.jpg,Native,Tree,Caution,Acorns leached & eaten; wildlife habitat; shade tree; wood for fuel,T1,,https://www.google.com/search?q=Coast%20Live%20Oak%20California%20native%20plant,https://calscape.org/plant/Quercus-agrifolia
Coyote Brush,Baccharis pilularis,Small sticky resinous leaves; fluffy white seed heads; dioecious shrub; pioneer species on disturbed slopes,Coyote_Brush.jpg,Native,Shrub,Not edible,Erosion control; pioneer revegetation; insect habitat; fire-resilient,T1,,https://www.google.com/search?q=Coyote%20Brush%20California%20native%20plant,https://calscape.org/plant/Baccharis-pilularis
Prickly Pear Cactus,Opuntia ficus-indica,Flat paddle-shaped pads with spines and glochids; yellow flowers; red-purple edible fruits (tunas),Prickly_Pear_Cactus.jpg,Native,Cactus,Edible,Pads (nopales) & fruit (tunas) eaten; medicinal; wildlife food,T1,,https://www.google.com/search?q=Prickly%20Pear%20Cactus%20California%20native%20plant,https://calscape.org/plant/Opuntia-ficus-indica
Coastal Prickly Pear,Opuntia littoralis,Flat oval pads; yellow to orange flowers; reddish fruits; coastal and inland chaparral,Coastal_Prickly_Pear.jpg,Native,Cactus,Edible,Pads & fruit edible; coastal sage scrub; wildlife food; erosion,"T1, T4",,https://www.google.com/search?q=Coastal%20Prickly%20Pear%20California%20native%20plant,https://calscape.org/plant/Opuntia-littoralis
Cholla (Teddy Bear),Cylindropuntia bigelovii,Dense golden spines covering cylindrical joints; joints detach easily; pale yellow-green flowers,Cholla.jpg,Native,Cactus,Edible,Buds edible (roasted); ornamental; hummingbird & cactus wren habitat,T1,Jumping Cholla,https://www.google.com/search?q=Cholla%20%28Teddy%20Bear%29%20California%20native%20plant,https://calscape.org/plant/Cylindropuntia-bigelovii
California Coffeeberry,Frangula californica,Oblong shiny leaves with prominent veins; small greenish flowers; berries ripening green to red to black,California_Coffeeberry.jpg,Native,Shrub,Poisonous,Medicinal laxative bark; wildlife food; hedging; native garden,"T1, T2",,https://www.google.com/search?q=California%20Coffeeberry%20California%20native%20plant,https://calscape.org/plant/Frangula-californica
Golden Currant,Ribes aureum,Lobed maple-like leaves; fragrant golden-yellow tubular flowers; black or yellow berries,Golden_Currant.jpg,Native,Shrub,Edible,Berries edible; jam; wildlife food; ornamental; aromatic flowers,T1,,https://www.google.com/search?q=Golden%20Currant%20California%20native%20plant,https://calscape.org/plant/Ribes-aureum
Mulefat,Baccharis salicifolia,Long narrow willow-like leaves; white fluffy flower heads; grows along stream banks and washes,Mulefat.jpg,Native,Shrub,Not edible,Riparian habitat; stream bank stabilizer; butterfly & bee forage; wildlife cover; fast-growing pioneer,T1,,https://www.google.com/search?q=Mulefat%20California%20native%20plant,https://calscape.org/plant/Baccharis-salicifolia
Blue Elderberry,Sambucus nigra ssp. caerulea,Pinnate leaves with 5-9 leaflets; large flat-topped white flower clusters; blue-black berries with white bloom,Blue_Elderberry.jpg,Native,Shrub,Caution,Berries for jam/wine (cooked); medicinal; wildlife food; flute-making,T1,,https://www.google.com/search?q=Blue%20Elderberry%20California%20native%20plant,https://calscape.org/plant/Sambucus-nigra
California Buckwheat,Eriogonum fasciculatum,Small narrow gray-green leaves in clusters; white to pink flat-topped flower clusters; rusty seed heads,California_Buckwheat.jpg,Native,Shrub,Edible,Pollinator magnet; seeds & flowers edible; medicinal; erosion control,T1,,https://www.google.com/search?q=California%20Buckwheat%20California%20native%20plant,https://calscape.org/plant/Eriogonum-fasciculatum
Black Mustard,Brassica nigra,Lobed basal leaves; bright yellow 4-petaled flowers; slender seed pods; tall erect annual to 6ft+,Black_Mustard.jpg,Non-native,Herb,Edible,Edible seeds & greens; invasive weed; fire hazard; bee forage,Everywhere,,https://www.google.com/search?q=Black%20Mustard%20California%20native%20plant,https://calscape.org/loc-california/cat-all/ord-popular/q-Brassica%20nigra/poplevel-0
